PLAYER	SCORE
R. McIlroy	-11
J. Rose	-11
P. Reed	-9
S. Scheffler	-8
S. Im	-7
B. DeChambeau	-7
L. Aberg	-6
J. Day	-5
Z. Johnson	-5
C. Conners	-5
X. Schauffele	-5
H. English	-4
M. Homa	-4
J. Spieth	-3
B. Watson	-3
T. Hoge	-3
T. Hatton	-3
J. Rahm	-3
C. Morikawa	-3
M. McCarty	-3
H. Matsuyama	-2
B. An	-2
D. Berger	-2
T. Fleetwood	-2
D. Riley	-2
V. Hovland	-2
M. Kim	-1
A. Rai	-1
D. McCarthy	E
S. Theegala	E
J. Niemann	E
B. Campbell	1
M. McNealy	1
M. Greyserman	1
R. Hojgaard	1
P. Cantlay	2
B. Harman	2
C. Schwartzel	2
J. Thomas	2
N. Taylor	3
M. Fitzpatrick	3
S. Lowry	4
D. Willett	4
J. Poston	4
A. Bhatia	4
S. Burns	5
W. Clark	5
D. Thompson	5
M. Lee	6
J. Spaun	7
N. Echavarria	8
S. Jaeger	9
T. Kim	9
